UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 21:17 ?        00:00:01 /sbin/init splash
root         2     0  0 21:17 ?        00:00:00 [kthreadd]
root         4     2  0 21:17 ?        00:00:00 [kworker/0:0H]
root         6     2  0 21:17 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 21:17 ?        00:00:00 [ksoftirqd/0]
root         8     2  0 21:17 ?        00:00:03 [rcu_sched]
root         9     2  0 21:17 ?        00:00:00 [rcu_bh]
root        10     2  0 21:17 ?        00:00:00 [migration/0]
root        11     2  0 21:17 ?        00:00:00 [watchdog/0]
root        12     2  0 21:17 ?        00:00:00 [cpuhp/0]
root        13     2  0 21:17 ?        00:00:00 [cpuhp/1]
root        14     2  0 21:17 ?        00:00:00 [watchdog/1]
root        15     2  0 21:17 ?        00:00:00 [migration/1]
root        16     2  0 21:17 ?        00:00:00 [ksoftirqd/1]
root        18     2  0 21:17 ?        00:00:00 [kworker/1:0H]
root        19     2  0 21:17 ?        00:00:00 [cpuhp/2]
root        20     2  0 21:17 ?        00:00:00 [watchdog/2]
root        21     2  0 21:17 ?        00:00:00 [migration/2]
root        22     2  0 21:17 ?        00:00:00 [ksoftirqd/2]
root        24     2  0 21:17 ?        00:00:00 [kworker/2:0H]
root        25     2  0 21:17 ?        00:00:00 [cpuhp/3]
root        26     2  0 21:17 ?        00:00:00 [watchdog/3]
root        27     2  0 21:17 ?        00:00:00 [migration/3]
root        28     2  0 21:17 ?        00:00:00 [ksoftirqd/3]
root        30     2  0 21:17 ?        00:00:00 [kworker/3:0H]
root        31     2  0 21:17 ?        00:00:00 [cpuhp/4]
root        32     2  0 21:17 ?        00:00:00 [watchdog/4]
root        33     2  0 21:17 ?        00:00:00 [migration/4]
root        34     2  0 21:17 ?        00:00:00 [ksoftirqd/4]
root        36     2  0 21:17 ?        00:00:00 [kworker/4:0H]
root        37     2  0 21:17 ?        00:00:00 [cpuhp/5]
root        38     2  0 21:17 ?        00:00:00 [watchdog/5]
root        39     2  0 21:17 ?        00:00:00 [migration/5]
root        40     2  0 21:17 ?        00:00:00 [ksoftirqd/5]
root        42     2  0 21:17 ?        00:00:00 [kworker/5:0H]
root        43     2  0 21:17 ?        00:00:00 [cpuhp/6]
root        44     2  0 21:17 ?        00:00:00 [watchdog/6]
root        45     2  0 21:17 ?        00:00:00 [migration/6]
root        46     2  0 21:17 ?        00:00:00 [ksoftirqd/6]
root        48     2  0 21:17 ?        00:00:00 [kworker/6:0H]
root        49     2  0 21:17 ?        00:00:00 [cpuhp/7]
root        50     2  0 21:17 ?        00:00:00 [watchdog/7]
root        51     2  0 21:17 ?        00:00:00 [migration/7]
root        52     2  0 21:17 ?        00:00:00 [ksoftirqd/7]
root        54     2  0 21:17 ?        00:00:00 [kworker/7:0H]
root        55     2  0 21:17 ?        00:00:00 [cpuhp/8]
root        56     2  0 21:17 ?        00:00:00 [watchdog/8]
root        57     2  0 21:17 ?        00:00:00 [migration/8]
root        58     2  0 21:17 ?        00:00:00 [ksoftirqd/8]
root        60     2  0 21:17 ?        00:00:00 [kworker/8:0H]
root        61     2  0 21:17 ?        00:00:00 [cpuhp/9]
root        62     2  0 21:17 ?        00:00:00 [watchdog/9]
root        63     2  0 21:17 ?        00:00:00 [migration/9]
root        64     2  0 21:17 ?        00:00:00 [ksoftirqd/9]
root        66     2  0 21:17 ?        00:00:00 [kworker/9:0H]
root        67     2  0 21:17 ?        00:00:00 [cpuhp/10]
root        68     2  0 21:17 ?        00:00:00 [watchdog/10]
root        69     2  0 21:17 ?        00:00:00 [migration/10]
root        70     2  0 21:17 ?        00:00:00 [ksoftirqd/10]
root        72     2  0 21:17 ?        00:00:00 [kworker/10:0H]
root        73     2  0 21:17 ?        00:00:00 [cpuhp/11]
root        74     2  0 21:17 ?        00:00:00 [watchdog/11]
root        75     2  0 21:17 ?        00:00:00 [migration/11]
root        76     2  0 21:17 ?        00:00:00 [ksoftirqd/11]
root        78     2  0 21:17 ?        00:00:00 [kworker/11:0H]
root        79     2  0 21:17 ?        00:00:00 [kdevtmpfs]
root        80     2  0 21:17 ?        00:00:00 [netns]
root        81     2  0 21:17 ?        00:00:00 [rcu_tasks_kthre]
root        82     2  0 21:17 ?        00:00:00 [kauditd]
root        83     2  0 21:17 ?        00:00:00 [kworker/0:1]
root        86     2  0 21:17 ?        00:00:00 [khungtaskd]
root        87     2  0 21:17 ?        00:00:00 [oom_reaper]
root        88     2  0 21:17 ?        00:00:00 [writeback]
root        89     2  0 21:17 ?        00:00:00 [kcompactd0]
root        90     2  0 21:17 ?        00:00:00 [ksmd]
root        91     2  0 21:17 ?        00:00:00 [khugepaged]
root        92     2  0 21:17 ?        00:00:00 [crypto]
root        93     2  0 21:17 ?        00:00:00 [kintegrityd]
root        94     2  0 21:17 ?        00:00:00 [kblockd]
root        97     2  0 21:17 ?        00:00:00 [kworker/4:1]
root       104     2  0 21:17 ?        00:00:00 [ata_sff]
root       105     2  0 21:17 ?        00:00:00 [md]
root       106     2  0 21:17 ?        00:00:00 [edac-poller]
root       107     2  0 21:17 ?        00:00:00 [devfreq_wq]
root       108     2  0 21:17 ?        00:00:00 [watchdogd]
root       111     2  0 21:17 ?        00:00:00 [kswapd0]
root       112     2  0 21:17 ?        00:00:00 [ecryptfs-kthrea]
root       154     2  0 21:17 ?        00:00:00 [kthrotld]
root       155     2  0 21:17 ?        00:00:00 [acpi_thermal_pm]
root       159     2  0 21:17 ?        00:00:00 [ipv6_addrconf]
root       168     2  0 21:17 ?        00:00:00 [kstrp]
root       189     2  0 21:17 ?        00:00:00 [charger_manager]
root       233     2  0 21:17 ?        00:00:00 [nvme-wq]
root       236     2  0 21:17 ?        00:00:00 [scsi_eh_0]
root       237     2  0 21:17 ?        00:00:00 [scsi_tmf_0]
root       238     2  0 21:17 ?        00:00:00 [scsi_eh_1]
root       239     2  0 21:17 ?        00:00:00 [scsi_tmf_1]
root       240     2  0 21:17 ?        00:00:00 [scsi_eh_2]
root       241     2  0 21:17 ?        00:00:00 [scsi_tmf_2]
root       242     2  0 21:17 ?        00:00:00 [scsi_eh_3]
root       243     2  0 21:17 ?        00:00:00 [scsi_tmf_3]
root       244     2  0 21:17 ?        00:00:00 [scsi_eh_4]
root       245     2  0 21:17 ?        00:00:00 [scsi_tmf_4]
root       246     2  0 21:17 ?        00:00:00 [scsi_eh_5]
root       247     2  0 21:17 ?        00:00:00 [scsi_tmf_5]
root       253     2  0 21:17 ?        00:00:00 [ttm_swap]
root       254     2  0 21:17 ?        00:00:00 [gfx]
root       255     2  0 21:17 ?        00:00:00 [comp_1.0.0]
root       256     2  0 21:17 ?        00:00:00 [comp_1.1.0]
root       257     2  0 21:17 ?        00:00:00 [comp_1.2.0]
root       258     2  0 21:17 ?        00:00:00 [comp_1.3.0]
root       259     2  0 21:17 ?        00:00:00 [comp_1.0.1]
root       260     2  0 21:17 ?        00:00:00 [comp_1.1.1]
root       261     2  0 21:17 ?        00:00:00 [comp_1.2.1]
root       262     2  0 21:17 ?        00:00:00 [comp_1.3.1]
root       263     2  0 21:17 ?        00:00:00 [sdma0]
root       264     2  0 21:17 ?        00:00:00 [sdma1]
root       265     2  0 21:17 ?        00:00:00 [uvd]
root       266     2  0 21:17 ?        00:00:00 [uvd_enc0]
root       267     2  0 21:17 ?        00:00:00 [uvd_enc1]
root       268     2  0 21:17 ?        00:00:00 [vce0]
root       269     2  0 21:17 ?        00:00:00 [vce1]
root       270     2  0 21:17 ?        00:00:00 [kworker/u25:0]
root       271     2  0 21:17 ?        00:00:03 [i915/signal:0]
root       272     2  0 21:17 ?        00:00:00 [i915/signal:1]
root       273     2  0 21:17 ?        00:00:00 [i915/signal:2]
root       274     2  0 21:17 ?        00:00:00 [i915/signal:4]
root       275     2  0 21:17 ?        00:00:00 [dm_timer_queue]
root       297     2  0 21:17 ?        00:00:00 [kworker/8:1H]
root       298     2  0 21:17 ?        00:00:00 [kworker/7:1H]
root       319     2  0 21:17 ?        00:00:00 [kworker/0:1H]
root       321     2  0 21:17 ?        00:00:00 [jbd2/nvme0n1p2-]
root       322     2  0 21:17 ?        00:00:00 [ext4-rsv-conver]
root       355     1  0 21:17 ?        00:00:00 /lib/systemd/systemd-journald
root       366     2  0 21:17 ?        00:00:00 [kworker/6:2]
root       384     1  0 21:17 ?        00:00:00 /lib/systemd/systemd-udevd
root       396     2  0 21:17 ?        00:00:00 [kworker/2:1H]
root       482     2  0 21:17 ?        00:00:00 [irq/138-mei_me]
root       517     2  0 21:17 ?        00:00:00 [cfg80211]
root       524     2  0 21:17 ?        00:00:00 [kworker/u25:2]
root       602     2  0 21:17 ?        00:00:00 [ath10k_wq]
root       603     2  0 21:17 ?        00:00:00 [ath10k_aux_wq]
root       656     2  0 21:17 ?        00:00:00 [kworker/10:2]
systemd+   727     1  0 21:17 ?        00:00:00 /lib/systemd/systemd-timesyncd
root       772     2  0 21:17 ?        00:00:00 [kworker/5:1H]
root       773     2  0 21:17 ?        00:00:00 [kworker/4:1H]
root       774     2  0 21:17 ?        00:00:00 [kworker/3:1H]
root       787     2  0 21:17 ?        00:00:00 [kmemstick]
root       788     2  0 21:17 ?        00:00:00 [rtsx_usb_ms_1]
root       888     1  0 21:17 ?        00:00:00 /usr/sbin/thermald --no-daemon --dbus-enable
root       889     1  0 21:17 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root       902     1  0 21:17 ?        00:00:00 /usr/sbin/cupsd -l
syslog     906     1  0 21:17 ?        00:00:00 /usr/sbin/rsyslogd -n
root       911     1  0 21:17 ?        00:00:00 /lib/systemd/systemd-logind
avahi      924     1  0 21:17 ?        00:00:00 avahi-daemon: running [517.local]
root       935     1  0 21:17 ?        00:00:00 /usr/sbin/acpid
message+   938     1  0 21:17 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
avahi      953   924  0 21:17 ?        00:00:00 avahi-daemon: chroot helper
root       974     1  0 21:17 ?        00:00:00 /usr/sbin/cups-browsed
root       975     1  0 21:17 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root       979     1  0 21:17 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       980     1  0 21:17 ?        00:00:00 /usr/sbin/cron -f
root       983     1  0 21:17 ?        00:00:00 /usr/lib/snapd/snapd
lp         987   902  0 21:17 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
proxy     1013     1  0 21:17 ?        00:00:00 /usr/bin/polipo -c /etc/polipo/config pidFile=/var/run/polipo/polipo.pid daemonise=true
root      1041     2  0 21:17 ?        00:00:00 [kworker/1:1H]
root      1043     1  0 21:17 ?        00:00:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
dnsmasq   1069     1  0 21:17 ?        00:00:00 /usr/sbin/dnsmasq -x /var/run/dnsmasq/dnsmasq.pid -u dnsmasq -r /var/run/dnsmasq/resolv.conf -7 /etc/dnsmasq.d,.dpkg-dist,.dpkg-old,.dpkg-new --local-service --trust-anchor=.,19036,8,2,49aac11d7b6f6446702e54a1607371607a1a41855200fd2ce1cdde32f24e8fb5 --trust-anchor=.,20326,8,2,e06d44b80b8f1d39a95c0b0d7c65d08458e880409bbc683457104237c7f8ec8d
root      1093     1  0 21:17 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root      1113     1  0 21:17 ?        00:00:00 /usr/sbin/lightdm
root      1171  1113  3 21:17 tty7     00:03:12 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1176     2  0 21:17 ?        00:00:00 [kworker/10:1H]
